Informant,response mantel 8.4,Comments
NJ4A,mantelpiece,
NJ4B,mantel,
NJ5A,mantelpiece,
NJ5B,mantelpiece,
NJ6A,mantelpiece,
NJ6B,mantelshelf,
NJ7A,mantelpiece,
NJ7B!,mantelpiece,
NJ8A,mantel,not used
NJ8A,shelf,
NJ8B,mantel,
NJ9A,mantelpiece,
NJ9B,mantelpiece,
NJ10A,mantelpiece,
NJ10B,mantelpiece,
NJ10C,mantel,
NJ10D!,mantel,
NJ10D!,shelf,
NJ11A,mantelpiece,
NJ11B,mantelpiece,
NJ11C,mantel,
NJ11C,mantelpiece,
NJ12A,mantelpiece,
NJ12B,mantel,
NJ13A,mantelshelf,
NJ13B,mantel,
NJ14A,mantel,
NJ14A,clock shelf,
NJ14B,mantel,
NJ15A,mantel,
NJ15B,mantel,
NJ16A,mantel,
NJ16A,shelf,
NJ16B,mantelpiece,
NJ16B,shelf,
NJ17A,mantel,
NJ17B,mantelpiece,
NJ17B,shelf,
NJ18A,mantelpiece,
NJ18B,mantel,
NJ18C!,mantel,
NJ18D!,mantel,
NJ19A,mantel,
NJ19B!,mantel,
NJ20A,mantel,
NJ20B,mantelpiece,
NJ21A,mantelpiece,
NJ21B,mantelpiece,
PA1A,mantel,
PA1B,mantel,
PA1C,mantel,
PA1C,mantelpiece,
PA1C,mantelshelf,
PA1D,mantelpiece,
PA1E!,mantel,
PA1F!,mantelpiece,
PA1G!,mantel,
PA1H!,mantelpiece,
PA2A,mantel,
PA2B,mantelpiece,
PA3A,mantel,
PA3B,mantel,
PA3C,mantelpiece,
PA4A,mantelpiece,
PA4B!,mantel,
PA5A,mantelpiece,
PA5B,mantel,
PA5B,shelf,
PA5C,mantelpiece,
PA5D,mantel,
PA5E!,mantel,
PA6A,mantel,
PA6A,shelf,
PA6B,mantel,
PA6B,mantelpiece,
PA6C,mantel,
PA6D!,mantel,
PA6D!,mantelshelf,
PA7A,mantel,
PA7B,mantel,
PA7C,mantel,
PA7D!,mantelpiece,
PA8A,mantelpiece,
PA8A,mantelboard,
PA8B,mantel,
PA8B,shelf,
PA8C,mantelpiece,
PA8D!,mantelpiece,
PA9A,mantelpiece,"""Dutch”"
PA9A,mantelpiece,"""English”"
PA9B,mantel,
PA9B,shelf,
PA9C!,mantel,
PA9C!,mantelpiece,
PA10,mantel,
PA11A,mantel,
PA11B,shelf,
PA11B,clock shelf,
PA12A,mantelshelf,
PA12B,mantel,
PA13A,mantel,
PA13B,mantel,
PA14A,mantelshelf,
PA14B,mantel,
PA14C,mantel,
PA15A,shelf,
PA15A,mantelshelf,
PA15B,mantel,
PA15C!,mantel,
PA16A,mantel,
PA16A,shelf,
PA16B,mantel,
PA16C,mantel,
PA17A,mantel,
PA17A,shelf,
PA17B,mantel,
PA17B,shelf,
PA18A,mantel,
PA18B!,mantel,
PA19A,mantelpiece,
PA19B,mantel,
PA20A,mantelpiece,
PA20B,mantel,
PA21A,mantel,
PA21B,mantel,
PA22A,mantel,
PA22A,shelf,
PA22B,mantel,
PA23A,mantel,
PA23B,mantel,
PA24A,mantel,
PA24A,mantelpiece,
PA24B,mantel,
PA25A,mantelpiece,
PA25B,mantel,
PA25B,shelf,
