State,Attic,Mantel,Garrett
AL,106,86,1
AR,56,61,1
CT,8,24,19
DC,2,2,1
DE,10,12,13
FL,72,48,4
GA,171,144,14
IL,69,65,6
IN,49,59,4
KY,22,38,2
LA,62,49,0
MA,43,49,9
MD,38,26,48
ME,14,9,0
MI,33,16,2
MS,67,60,0
NC,64,60,69
NH,9,19,0
NJ,34,23,33
NY,165,117,66
OH,61,68,6
PA,113,122,137
RI,1,6,0
SC,99,62,79
TN,110,117,5
TX,80,62,2
VA,82,60,125
VT,14,25,8
WI,28,18,3
WV,71,75,40
